,Gender,Age,Education Level,Preferred Subjects,Least preferred Subjects,Hours per week for school,Educational Level parent_1,Educational Level parent_2,CRT_points,Use AI school and freetime,Used AI,Frequency of use education,Frequency of use everyday life,Use of AI in freetime,Usefullness AI,Deal with AI,Understanding AI,Internet terms_Spyware,Internet terms_Cache,Internet terms_Advanced Search,Internet terms_PDF,Internet terms_Phishing,Internet terms_Wiki,True/False_1,True/False_2,True/False_3,True/False_4,True/False_5,True/False_6,Reliability AI,Concerns AI,Teachers preparing lessons,Teachers giving grades,Mates using AI,Allowance to use AI,Frequency use of AI_school,Most used subjects,Purposes to use AI,Reasons to use AI,Help of AI,True_False_Score,Internet_Understanding_Score,Internet Understanding (Grouped),gender_Keine Angabe,gender_Männlich,gender_Weiblich,privacy_Ich habe darüber noch nie nachgedacht.,privacy_Ja,privacy_Nein
0,Männlich,14,Sek A,"Geografie, Informatik, Handarbeit / Werken",Französisch,Mehr als 5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Abschluss an einer Hochschule / Fachhochschule,0,3,"ChatGPT,Microsoft Copilot,Meta AI (Whatsapp)",Manchmal,Oft,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag,Private Fragen zu persönlichen Themen",Ziemlich nützlich,Sehr gut,Sehr gut,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Völliges Verständnis,Völliges Verständnis,Völliges Verständnis,Falsch,Wahr,Falsch,Falsch,Ich verstehe die Frage nicht,Ich verstehe die Frage nicht,4,Nein,Finde ich sehr gut,Finde ich sehr gut,Oft,Nur wenn meine Eltern es erlauben,Manchmal,Musik,Zusammenfassungen,"Zeitersparnis,Bessere Erklärungen als von den Lehrern",4.0,3,22,Gutes Verständnis,False,True,False,False,False,True
1,Männlich,13,Sek A,Sport,"Mathematik / Geometrie, Französisch",2-5 Stunden pro Woche,Ich weiss es nicht,Ich weiss es nicht,0,1,,,,,,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Kein Verständnis,Wahr,Falsch,Wahr,Falsch,Ich weiss es nicht,Wahr,4,Nein,Neutral / Mir egal,Stört mich sehr,Oft,"Ja, für beides",Nie,,,,,2,9,Kein Verständnis,False,True,False,False,False,True
2,Weiblich,13,Sek A,"Zeichnen / Kunst, Sport, Musik","Englisch, Religion und Kultur",0-1 Stunde pro Woche,Abschluss eines Doktorat / Professur,Abschluss eines Doktorat / Professur,2,3,ChatGPT,Manchmal,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Eher gut,Eher wenig,Kein Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Falsch,Ich weiss es nicht,Wahr,Wahr,Ich weiss es nicht,3,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Stört mich sehr,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Selten,"Mathematik, Deutsch","Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen","Zeitersparnis,weniger Stress,Bessere Erklärungen als von den Lehrern",3.0,3,9,Kein Verständnis,False,False,True,True,False,False
3,Männlich,13,Sek A,"Sport, Musik, Kochen","Geografie, Zeichnen / Kunst, Französisch",Mehr als 5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,0,4,ChatGPT,Oft,Manchmal,"Erstellen von Bildern / Videos,Verständnisfragen über Wissen im Alltag",Sehr nützlich,Sehr gut,Sehr gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Kein Verständnis,Kein Verständnis,Wahr,Falsch,Falsch,Wahr,Ich weiss es nicht,Wahr,5,Ich habe darüber noch nie nachgedacht.,Stört mich sehr,Stört mich sehr,Oft,"Ja, für beides",Häufig,"Deutsch, Geografie, Mathematik","Zusammenfassungen,Erklärungen,Schreiben von Texten,Ideenfindung / Kreative Ideen,Lerntechniken / Tipps wie man lernt,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung",4.0,2,8,Kein Verständnis,False,True,False,True,False,False
4,Weiblich,13,Sek A,"Französisch, Chemie","Mathematik / Geometrie, Deutsch, Englisch",2-5 Stunden pro Woche,Ich weiss es nicht,Abschluss an einer Hochschule / Fachhochschule,1,4,ChatGPT,Oft,Nie,,Teils/teils,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Kein Verständnis,Falsch,Ich weiss es nicht,Falsch,Wahr,Ich verstehe die Frage nicht,Ich verstehe die Frage nicht,3,Ja,Neutral / Mir egal,Stört mich sehr,Manchmal,Nur wenn die Lehrperson es ausdrücklich erlaubt,Manchmal,"Deutsch, Englisch","Zusammenfassungen,Erklärungen,Schreiben von Texten,Vorbereiten von Vorträgen,Grammatik / Rechtschreibung","Zeitersparnis,weniger Stress,Als Prüfungsvorbereitung",3.0,2,10,Kein Verständnis,False,False,True,False,True,False
5,Männlich,13,Sek A,"Kochen, Sport","Deutsch, Französisch, Geschichte",2-5 Stunden pro Woche,Abschluss an einer Fachhochschule / Hochschule,Ich weiss es nicht,2,3,"ChatGPT,Microsoft Copilot",Manchmal,Selten,Erstellen von Bildern / Videos,Ziemlich nützlich,Eher gut,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Gutes Verständnis,Schlechtes Verständnis,Völliges Verständnis,Falsch,Wahr,Falsch,Wahr,Wahr,Falsch,3,Nein,Neutral / Mir egal,Stört mich sehr,Manchmal,"Ja, für beides",Nie,,,,,4,16,Mittelmässiges Verständnis,False,True,False,False,False,True
6,Weiblich,13,Sek A,"Kochen, Sport, Musik","Französisch, Geschichte, Religion und Kultur",2-5 Stunden pro Woche,Obligatorische Schule,Obligatorische Schule,1,3,ChatGPT,Selten,Manchmal,Private Fragen zu persönlichen Themen,Ziemlich nützlich,Weder gut noch schlecht,Weder gut noch schlecht,Kein Verständnis,Kein Verständnis,Schlechtes Verständnis,Gutes Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Falsch,Ich weiss es nicht,Ich weiss es nicht,Falsch,Ich verstehe die Frage nicht,Ich weiss es nicht,4,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Neutral / Mir egal,Oft,"Ja, für beides",Manchmal,Geografie,"Zusammenfassungen,Erklärungen,Vorbereiten von Vorträgen","Zeitersparnis,Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",4.0,2,12,Schlechtes Verständnis,False,False,True,True,False,False
7,Weiblich,13,Sek A,"Französisch, Kochen, Sport","Informatik, Mathematik / Geometrie, Geschichte",0-1 Stunde pro Woche,Abschluss eines Doktorat / Professur,Abschluss an einer Universität / ETH,1,2,"ChatGPT,Gemini (Google)",Selten,Selten,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Weder gut noch schlecht,Weder gut noch schlecht,Schlechtes Verständnis,Kein Verständnis,Kein Verständnis,Gutes Verständnis,Kein Verständnis,Mittelmässiges Verständnis,Falsch,Falsch,Falsch,Wahr,Wahr,Falsch,4,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Neutral / Mir egal,Oft,"Ja, für beides",Manchmal,"Mathematik, Geografie","Zusammenfassungen,Erklärungen,Ideenfindung / Kreative Ideen,Vorbereiten von Vorträgen","Zeitersparnis,Bessere Erklärungen als von den Lehrern",5.0,5,12,Schlechtes Verständnis,False,False,True,True,False,False
8,Weiblich,13,Sek A,"Mathematik / Geometrie, Französisch, Sport","Geschichte, Informatik, Religion und Kultur",2-5 Stunden pro Woche,Abschluss an einer Universität oder ETH,Abschluss an einer Universität / ETH,1,3,ChatGPT,Manchmal,Selten,Verständnisfragen über Wissen im Alltag,Ziemlich nützlich,Sehr gut,Eher gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Kein Verständnis,Wahr,Wahr,Falsch,Wahr,Falsch,Ich weiss es nicht,5,Ich habe darüber noch nie nachgedacht.,Neutral / Mir egal,Finde ich gut,Oft,Nur für Hausaufgaben,Manchmal,"Englisch, Mathematik, Geografie","Zusammenfassungen,Erklärungen","weniger Stress,Als Prüfungsvorbereitung,Bessere Erklärungen als von den Lehrern",5.0,1,6,Kein Verständnis,False,False,True,True,False,False
9,Weiblich,14,Sek A,"Kochen, Deutsch, Zeichnen / Kunst","Englisch, Geschichte, Religion und Kultur",2-5 Stunden pro Woche,Ich weiss es nicht,Matura,0,3,ChatGPT,Manchmal,Selten,Verständnisfragen über Wissen im Alltag,Teils/teils,Weder gut noch schlecht,Eher gut,Kein Verständnis,Kein Verständnis,Kein Verständnis,Völliges Verständnis,Kein Verständnis,Völliges Verständnis,Falsch,Falsch,Wahr,Wahr,Ich weiss es nicht,Ich weiss es nicht,3,Ja,Neutral / Mir egal,Stört mich sehr,Manchmal,"Ja, für beides",Manchmal,"Mathematik, Französisch, Englisch",Vorbereiten von Vorträgen,,3.0,2,14,Schlechtes Verständnis,False,False,True,False,True,False
